farm,irrigation,genotype,count
farm_1,drip,G1,1
farm_1,drip,G4,2
farm_1,drip,G3,0
farm_1,drip,G3,0
farm_1,drip,G3,0
farm_1,drip,G2,0
farm_1,drip,G2,0
farm_1,drip,G3,0
farm_1,drip,G1,3
farm_1,drip,G1,0
farm_1,drip,G4,0
farm_1,drip,G3,0
farm_1,drip,G2,0
farm_1,drip,G2,3
farm_1,drip,G2,0
farm_1,drip,G4,2
farm_1,drip,G2,0
farm_1,drip,G2,0
farm_1,drip,G2,0
farm_1,drip,G3,1
farm_1,drip,G4,0
farm_1,drip,G4,0
farm_1,drip,G2,0
farm_1,drip,G1,0
farm_1,drip,G2,1
farm_1,drip,G2,0
farm_1,drip,G2,0
farm_1,drip,G3,3
farm_1,drip,G4,0
farm_1,drip,G2,0
farm_1,drip,G3,2
farm_1,drip,G2,2
farm_1,drip,G3,0
farm_1,drip,G4,0
farm_1,drip,G1,3
farm_1,drip,G3,0
farm_1,drip,G3,0
farm_1,drip,G3,0
farm_1,drip,G1,0
farm_1,drip,G3,2
farm_1,drip,G3,0
farm_1,drip,G2,2
farm_1,drip,G2,1
farm_1,drip,G2,0
farm_1,drip,G3,0
farm_1,drip,G4,0
farm_1,drip,G3,0
farm_1,drip,G3,0
farm_1,drip,G2,0
farm_1,drip,G1,1
farm_1,drip,G2,0
farm_1,drip,G4,0
farm_1,drip,G4,3
farm_1,drip,G4,2
farm_1,drip,G1,1
farm_1,drip,G3,0
farm_1,drip,G3,1
farm_1,drip,G4,1
farm_1,drip,G4,4
farm_1,drip,G2,1
farm_1,drip,G4,0
farm_1,drip,G1,0
farm_1,drip,G3,1
farm_1,drip,G1,2
farm_1,drip,G3,0
farm_1,drip,G2,2
farm_1,drip,G2,0
farm_1,drip,G1,0
farm_1,drip,G3,0
farm_1,drip,G2,0
farm_1,drip,G4,1
farm_1,drip,G1,0
farm_1,drip,G3,0
farm_1,drip,G4,0
farm_1,drip,G4,1
farm_1,drip,G3,0
farm_1,drip,G3,0
farm_1,drip,G4,0
farm_1,drip,G1,1
farm_1,drip,G4,1
farm_1,drip,G2,0
farm_1,drip,G2,4
farm_1,drip,G4,0
farm_1,drip,G1,1
farm_1,drip,G4,0
farm_1,drip,G4,0
farm_1,drip,G2,2
farm_1,drip,G3,0
farm_1,drip,G4,0
farm_1,drip,G4,0
farm_1,drip,G4,0
farm_1,drip,G3,1
farm_1,drip,G1,1
farm_1,drip,G4,3
farm_2,overhead,G1,15
farm_2,overhead,G3,4
farm_2,overhead,G4,12
farm_2,overhead,G1,2
farm_2,overhead,G2,21
farm_2,overhead,G1,2
farm_2,overhead,G4,7
farm_2,overhead,G2,45
farm_2,overhead,G2,2
farm_2,overhead,G2,0
farm_2,overhead,G3,3
farm_2,overhead,G1,1
farm_2,overhead,G1,14
farm_2,overhead,G4,24
farm_2,overhead,G1,4
farm_2,overhead,G1,18
farm_2,overhead,G4,21
farm_2,overhead,G3,26
farm_2,overhead,G1,0
farm_2,overhead,G2,27
farm_2,overhead,G1,9
farm_2,overhead,G2,27
farm_2,overhead,G4,0
farm_2,overhead,G2,1
farm_2,overhead,G1,0
farm_2,overhead,G1,14
farm_2,overhead,G1,16
farm_2,overhead,G1,10
farm_2,overhead,G4,4
farm_2,overhead,G3,2
farm_2,overhead,G1,5
farm_2,overhead,G1,3
farm_2,overhead,G1,9
