"time","f1","f2","tau"
1,-2.07704063743079,0,0
2,-1.61922603635067,0.273662990072083,0
3,-1.64909900202646,0.526432162877356,0
4,-1.78471425334494,0.739008917220659,0
5,-1.28670537459436,0.895163291355062,0
6,-1.01398810777915,0.982973099683902,0
7,-0.0831258426457835,0.995734176295035,0
8,0.0268303798696055,0.932472229404356,0
9,-0.259100927319832,0.79801722728024,0
10,-0.222058453292468,0.602634636379256,0
11,-0.0200558206134011,0.361241666187153,0
12,0.406078803561526,0.0922683594633023,0
13,0.0253700064060409,-0.18374951781657,0
14,-0.593248140448104,-0.445738355776538,0
15,0.340276689683303,-0.673695643646557,0
16,1.06581618885767,-0.850217135729614,0
17,1.57895281588489,-0.961825643172819,0
18,1.48612302363063,-1,0
19,1.18613724573846,-0.961825643172819,0
20,1.06325827845996,-0.850217135729614,0
21,0.717522359837025,-0.673695643646557,-1.2
22,0.731617263487425,-0.445738355776539,-2.4
23,0.0701499000054654,-0.183749517816571,-3.6
24,0.14106039236077,0.0922683594633015,-4.8
25,-0.281372569981296,0.361241666187153,-6
26,-0.0627254820403884,0.602634636379256,-7.2
27,-0.55862123839005,0.798017227280239,-8.4
28,-0.944638608053662,0.932472229404356,-9.6
29,-0.712829215789622,0.995734176295034,-10.8
30,-0.14621203049284,0.982973099683902,-12
31,0.169562840315196,0.895163291355063,-13.2
32,0.750890315254267,0.73900891722066,-14.4
33,0.282419737673002,0.526432162877356,-15.6
34,1.17638032491627,0.273662990072083,-16.8
35,2.09631517465232,3.67394039744206e-16,-18
