farm,irrigation,genotype,survival
farm_1,drip,G1,1
farm_1,drip,G4,1
farm_1,drip,G3,1
farm_1,drip,G3,1
farm_1,drip,G3,0
farm_1,drip,G2,0
farm_1,drip,G2,1
farm_1,drip,G3,0
farm_1,drip,G1,1
farm_1,drip,G1,1
farm_1,drip,G4,1
farm_1,drip,G3,1
farm_1,drip,G2,1
farm_1,drip,G2,1
farm_1,drip,G2,1
farm_1,drip,G4,0
farm_1,drip,G2,1
farm_1,drip,G2,1
farm_1,drip,G2,1
farm_1,drip,G3,1
farm_1,drip,G4,1
farm_1,drip,G4,1
farm_1,drip,G2,1
farm_1,drip,G1,1
farm_1,drip,G2,1
farm_1,drip,G2,1
farm_1,drip,G2,1
farm_1,drip,G3,1
farm_1,drip,G4,1
farm_1,drip,G2,1
farm_1,drip,G3,1
farm_1,drip,G2,1
farm_1,drip,G3,1
farm_1,drip,G4,0
farm_1,drip,G1,0
farm_1,drip,G3,1
farm_1,drip,G3,1
farm_1,drip,G3,1
farm_1,drip,G1,1
farm_1,drip,G3,1
farm_1,drip,G3,1
farm_1,drip,G2,1
farm_1,drip,G2,1
farm_1,drip,G2,1
farm_1,drip,G3,1
farm_1,drip,G4,1
farm_1,drip,G3,0
farm_1,drip,G3,0
farm_1,drip,G2,1
farm_1,drip,G1,0
farm_1,drip,G2,1
farm_1,drip,G4,1
farm_1,drip,G4,1
farm_1,drip,G4,1
farm_1,drip,G1,1
farm_1,drip,G3,1
farm_1,drip,G3,0
farm_1,drip,G4,1
farm_1,drip,G4,1
farm_1,drip,G2,1
farm_1,drip,G4,1
farm_1,drip,G1,1
farm_1,drip,G3,0
farm_1,drip,G1,1
farm_1,drip,G3,1
farm_1,drip,G2,1
farm_1,drip,G2,1
farm_1,drip,G1,1
farm_1,drip,G3,1
farm_1,drip,G2,1
farm_1,drip,G4,1
farm_1,drip,G1,1
farm_1,drip,G3,1
farm_1,drip,G4,1
farm_1,drip,G4,1
farm_1,drip,G3,1
farm_1,drip,G3,1
farm_1,drip,G4,1
farm_1,drip,G1,1
farm_1,drip,G4,1
farm_1,drip,G2,1
farm_1,drip,G2,1
farm_1,drip,G4,0
farm_1,drip,G1,1
farm_1,drip,G4,1
farm_1,drip,G4,1
farm_1,drip,G2,1
farm_1,drip,G3,1
farm_1,drip,G4,1
farm_1,drip,G4,1
farm_1,drip,G4,1
farm_1,drip,G3,1
farm_1,drip,G1,1
farm_1,drip,G4,1
farm_2,overhead,G1,1
farm_2,overhead,G3,1
farm_2,overhead,G4,1
farm_2,overhead,G1,1
farm_2,overhead,G2,1
farm_2,overhead,G1,0
farm_2,overhead,G4,1
farm_2,overhead,G2,1
farm_2,overhead,G2,1
farm_2,overhead,G2,1
farm_2,overhead,G3,0
farm_2,overhead,G1,1
farm_2,overhead,G1,1
farm_2,overhead,G4,1
farm_2,overhead,G1,1
farm_2,overhead,G1,1
farm_2,overhead,G4,1
farm_2,overhead,G3,1
farm_2,overhead,G1,0
farm_2,overhead,G2,1
farm_2,overhead,G1,1
farm_2,overhead,G2,1
farm_2,overhead,G4,1
farm_2,overhead,G2,0
farm_2,overhead,G1,0
farm_2,overhead,G1,1
farm_2,overhead,G1,1
farm_2,overhead,G1,0
farm_2,overhead,G4,1
farm_2,overhead,G3,0
farm_2,overhead,G1,1
farm_2,overhead,G1,1
farm_2,overhead,G1,1
farm_2,overhead,G2,1
farm_2,overhead,G2,1
farm_2,overhead,G3,1
farm_2,overhead,G2,1
farm_2,overhead,G3,1
farm_2,overhead,G1,0
farm_2,overhead,G1,1
farm_2,overhead,G4,1
farm_2,overhead,G1,1
farm_2,overhead,G1,1
farm_2,overhead,G1,1
farm_2,overhead,G4,1
farm_2,overhead,G3,1
farm_2,overhead,G1,1
farm_2,overhead,G4,1
farm_2,overhead,G1,1
farm_2,overhead,G3,0
farm_2,overhead,G3,0
farm_2,overhead,G4,1
farm_2,overhead,G2,1
farm_2,overhead,G1,1
farm_2,overhead,G1,0
farm_2,overhead,G1,1
farm_2,overhead,G2,1
farm_2,overhead,G1,1
farm_2,overhead,G2,1
farm_2,overhead,G1,1
farm_2,overhead,G4,1
farm_2,overhead,G1,1
farm_2,overhead,G3,1
farm_2,overhead,G3,0
farm_2,overhead,G2,1
farm_2,overhead,G2,1
farm_2,overhead,G1,1
farm_2,overhead,G3,0
farm_2,overhead,G4,1
farm_2,overhead,G1,1
farm_2,overhead,G1,1
farm_2,overhead,G2,1
farm_2,overhead,G1,1
farm_2,overhead,G2,1
