"G","rho","estimator","reject","mcse"
6,0,"OLS",0.055,0.00509779364038993
6,0,"HC1",0.0545,0.00507591124823908
6,0,"CRVE (t_{G-1})",0.168,0.0083599043056724
6,0,"CR2 (BM)",0.1005,0.00672308522926788
6,0,"Wild cluster BS",0.0705,0.00572406105837455
6,0.3,"OLS",0.538,0.0111480043057042
6,0.3,"HC1",0.554,0.0111149448941504
6,0.3,"CRVE (t_{G-1})",0.1475,0.00792917870904673
6,0.3,"CR2 (BM)",0.083,0.00616891400491205
6,0.3,"Wild cluster BS",0.072,0.0057799653978203
12,0,"OLS",0.0585,0.0052477495176504
12,0,"HC1",0.0595,0.00528960064655168
12,0,"CRVE (t_{G-1})",0.095,0.0065564853389602
12,0,"CR2 (BM)",0.0545,0.00507591124823908
12,0,"Wild cluster BS",0.062,0.00539240206216117
12,0.3,"OLS",0.5395,0.011145397031959
12,0.3,"HC1",0.5445,0.011135972117422
12,0.3,"CRVE (t_{G-1})",0.084,0.00620258010830977
12,0.3,"CR2 (BM)",0.0495,0.0048502448391808
12,0.3,"Wild cluster BS",0.053,0.0050095408971282
30,0,"OLS",0.0505,0.00489641450451246
30,0,"HC1",0.0505,0.00489641450451246
30,0,"CRVE (t_{G-1})",0.054,0.00505390937789747
30,0,"CR2 (BM)",0.0455,0.00465992220965114
30,0,"Wild cluster BS",0.046,0.00468422885862764
30,0.3,"OLS",0.5145,0.0111756375657051
30,0.3,"HC1",0.5155,0.0111749664429026
30,0.3,"CRVE (t_{G-1})",0.05,0.00487339717240448
30,0.3,"CR2 (BM)",0.0435,0.00456112650559048
30,0.3,"Wild cluster BS",0.0425,0.00451075104611194
50,0,"OLS",0.051,0.00491929873051027
50,0,"HC1",0.0505,0.00489641450451246
50,0,"CRVE (t_{G-1})",0.0575,0.00520546587732549
50,0,"CR2 (BM)",0.055,0.00509779364038993
50,0,"Wild cluster BS",0.052,0.00496467521596328
50,0.3,"OLS",0.5245,0.0111669098232233
50,0.3,"HC1",0.5255,0.0111657903885036
50,0.3,"CRVE (t_{G-1})",0.054,0.00505390937789747
50,0.3,"CR2 (BM)",0.051,0.00491929873051027
50,0.3,"Wild cluster BS",0.0505,0.00489641450451246
